week,game_id,away,away_score,home,home_score,total
1,1,Buffalo,31,LA Rams,10,41
1,2,New Orleans,27,Atlanta,26,53
1,3,Cleveland,26,Carolina,24,50
1,4,San Francisco,10,Chicago,19,29
1,5,Pittsburgh,23,Cincinnati,20,43
1,6,Indianapolis,20,Houston,20,40
1,7,Philadelphia,38,Detroit,35,73
1,8,Jacksonville,22,Washington,28,50
1,9,New England,7,Miami,20,27
1,10,Baltimore,24,NY Jets,9,33
1,11,Kansas City,44,Arizona,21,65
1,12,Green Bay,7,Minnesota,23,30
1,13,NY Giants,21,Tennessee,20,41
1,14,Las Vegas,19,LA Chargers,24,43
1,15,Tampa Bay,19,Dallas,3,22
1,16,Denver,16,Seattle,17,33
2,17,LA Chargers,24,Kansas City,27,51
2,18,Carolina,16,NY Giants,19,35
2,19,NY Jets,31,Cleveland,30,61
2,20,Indianapolis,0,Jacksonville,24,24
2,21,Washington,27,Detroit,36,63
2,22,Miami,42,Baltimore,38,80
2,23,Tampa Bay,20,New Orleans,10,30
2,24,New England,17,Pittsburgh,14,31
2,25,Atlanta,27,LA Rams,31,58
2,26,Seattle,7,San Francisco,27,34
2,27,Cincinnati,17,Dallas,20,37
2,28,Arizona,29,Las Vegas,23,52
2,29,Houston,9,Denver,16,25
2,30,Chicago,10,Green Bay,27,37
2,31,Tennessee,7,Buffalo,41,48
2,32,Minnesota,7,Philadelphia,24,31
3,33,Pittsburgh,17,Cleveland,29,46
3,34,Buffalo,19,Miami,21,40
3,35,New Orleans,14,Carolina,22,36
3,36,Houston,20,Chicago,23,43
3,37,Cincinnati,27,NY Jets,12,39
3,38,Kansas City,17,Indianapolis,20,37
3,39,Detroit,24,Minnesota,28,52
3,40,Baltimore,37,New England,26,63
3,41,Las Vegas,22,Tennessee,24,46
3,42,Philadelphia,24,Washington,8,32
3,43,Jacksonville,38,LA Chargers,10,48
3,44,Atlanta,27,Seattle,23,50
3,45,LA Rams,20,Arizona,12,32
3,46,Green Bay,14,Tampa Bay,12,26
3,47,San Francisco,10,Denver,11,21
3,48,Dallas,23,NY Giants,16,39
4,49,Miami,15,Cincinnati,27,42
4,50,Minnesota,28,New Orleans,25,53
4,51,Cleveland,20,Atlanta,23,43
4,52,Buffalo,23,Baltimore,20,43
4,53,Chicago,12,NY Giants,20,32
4,54,Tennessee,24,Indianapolis,17,41
4,55,Washington,10,Dallas,25,35
4,56,Seattle,48,Detroit,45,93
4,57,LA Chargers,34,Houston,24,58
4,58,Jacksonville,21,Philadelphia,29,50
4,59,NY Jets,24,Pittsburgh,20,44
4,60,Arizona,26,Carolina,16,42
4,61,Denver,23,Las Vegas,32,55
4,62,New England,24,Green Bay,27,51
4,63,Kansas City,41,Tampa Bay,31,72
4,64,LA Rams,9,San Francisco,24,33
5,65,Indianapolis,12,Denver,9,21
5,66,NY Giants,27,Green Bay,22,49
5,67,Atlanta,15,Tampa Bay,21,36
5,68,Pittsburgh,3,Buffalo,38,41
5,69,Chicago,22,Minnesota,29,51
5,70,LA Chargers,30,Cleveland,28,58
5,71,Detroit,0,New England,29,29
